name;group;type;obj_value_hx;gap_hx;n_vehicles_used_hx;time_hx;status
lr101;06R_06V_02I_03M;t1;779.08;0;1;2;HxSolutionStatus.OPTIMAL
lr101;06R_06V_02I_04M;t1;758.09;0;1;2;HxSolutionStatus.OPTIMAL
lr102;06R_06V_02I_03M;t1;536.97;0;0.67;90;HxSolutionStatus.OPTIMAL
lr102;06R_06V_02I_04M;t1;536.97;0;0.67;100;HxSolutionStatus.OPTIMAL
lr103;06R_06V_02I_03M;t1;454.4;0;0.5;844;HxSolutionStatus.OPTIMAL
lr103;06R_06V_02I_04M;t1;451.61;0;0.5;890;HxSolutionStatus.OPTIMAL
lr104;06R_06V_02I_03M;t1;431.14;0;0.5;489;HxSolutionStatus.OPTIMAL
lr104;06R_06V_02I_04M;t1;426.97;0;0.5;838;HxSolutionStatus.OPTIMAL
lr105;06R_06V_02I_03M;t1;468.59;0;0.67;2;HxSolutionStatus.OPTIMAL
lr105;06R_06V_02I_04M;t1;468.59;0;0.67;3;HxSolutionStatus.OPTIMAL
lr101;06R_06V_04I_03M;t1;780.14;0;1;167;HxSolutionStatus.OPTIMAL
lr101;06R_06V_04I_04M;t1;757.4;0;1;5;HxSolutionStatus.OPTIMAL
lr102;06R_06V_04I_03M;t1;614.27;0;0.67;138;HxSolutionStatus.OPTIMAL
lr102;06R_06V_04I_04M;t1;606.4;0;0.67;114;HxSolutionStatus.OPTIMAL
lr103;06R_06V_04I_03M;t1;448.87;0;0.5;1119;HxSolutionStatus.OPTIMAL
lr103;06R_06V_04I_04M;t1;446.87;0;0.5;1181;HxSolutionStatus.OPTIMAL
lr104;06R_06V_04I_03M;t1;469.54;0;0.5;866;HxSolutionStatus.OPTIMAL
lr104;06R_06V_04I_04M;t1;465.1;0;0.5;790;HxSolutionStatus.OPTIMAL
lr105;06R_06V_04I_03M;t1;521.52;0;0.67;5;HxSolutionStatus.OPTIMAL
lr105;06R_06V_04I_04M;t1;513.04;0;0.67;13;HxSolutionStatus.OPTIMAL
lr101;08R_08V_02I_03M;t1;946.87;0;0.88;22;HxSolutionStatus.OPTIMAL
lr101;08R_08V_02I_04M;t1;946.51;0;0.88;12;HxSolutionStatus.OPTIMAL
lr102;08R_08V_02I_03M;t1;765.67;6.29;0.75;3600;HxSolutionStatus.FEASIBLE
lr102;08R_08V_02I_04M;t1;765.67;7.46;0.75;3600;HxSolutionStatus.FEASIBLE
lr103;08R_08V_02I_03M;t1;546.38;100;0.38;3600;HxSolutionStatus.FEASIBLE
lr103;08R_08V_02I_04M;t1;549.35;100;0.38;3600;HxSolutionStatus.FEASIBLE
lr104;08R_08V_02I_03M;t1;558.37;100;0.38;3600;HxSolutionStatus.FEASIBLE
lr104;08R_08V_02I_04M;t1;558.37;100;0.38;3600;HxSolutionStatus.FEASIBLE
lr105;08R_08V_02I_03M;t1;553.09;0;0.5;120;HxSolutionStatus.OPTIMAL
lr105;08R_08V_02I_04M;t1;553.09;0;0.5;89;HxSolutionStatus.OPTIMAL
lr101;08R_08V_04I_03M;t1;1155.57;0;0.88;138;HxSolutionStatus.OPTIMAL
lr101;08R_08V_04I_04M;t1;1067.37;0;0.88;1313;HxSolutionStatus.OPTIMAL
lr102;08R_08V_04I_03M;t1;772.63;12.09;0.62;3600;HxSolutionStatus.FEASIBLE
lr102;08R_08V_04I_04M;t1;771.68;11.38;0.62;3600;HxSolutionStatus.FEASIBLE
lr103;08R_08V_04I_03M;t1;563.83;77.63;0.38;3600;HxSolutionStatus.FEASIBLE
lr103;08R_08V_04I_04M;t1;565.22;79.07;0.38;3600;HxSolutionStatus.FEASIBLE
lr104;08R_08V_04I_03M;t1;649.35;96.67;0.62;3600;HxSolutionStatus.FEASIBLE
lr104;08R_08V_04I_04M;t1;647.39;100;0.62;3600;HxSolutionStatus.FEASIBLE
lr105;08R_08V_04I_03M;t1;754.77;0;0.62;824;HxSolutionStatus.OPTIMAL
lr105;08R_08V_04I_04M;t1;743.51;0;0.62;1172;HxSolutionStatus.OPTIMAL
lr101;10R_10V_02I_03M;t1;1295.64;0;0.8;1458;HxSolutionStatus.OPTIMAL
lr101;10R_10V_02I_04M;t1;1245.7;2.21;0.8;3600;HxSolutionStatus.FEASIBLE
lr102;10R_10V_02I_03M;t1;1018.62;14.1;0.6;3600;HxSolutionStatus.FEASIBLE
lr102;10R_10V_02I_04M;t1;1018.62;22.14;0.6;3600;HxSolutionStatus.FEASIBLE
lr103;10R_10V_02I_03M;t1;607.23;100;0.3;3600;HxSolutionStatus.FEASIBLE
lr103;10R_10V_02I_04M;t1;633.75;100;0.4;3600;HxSolutionStatus.FEASIBLE
lr104;10R_10V_02I_03M;t1;697.77;100;0.4;3600;HxSolutionStatus.FEASIBLE
lr104;10R_10V_02I_04M;t1;698.55;100;0.5;3600;HxSolutionStatus.FEASIBLE
lr105;10R_10V_02I_03M;t1;670.47;0;0.5;3371;HxSolutionStatus.OPTIMAL
lr105;10R_10V_02I_04M;t1;670.47;23.11;0.5;3600;HxSolutionStatus.FEASIBLE
lr101;10R_10V_04I_03M;t1;1260.36;12.21;0.9;3600;HxSolutionStatus.FEASIBLE
lr101;10R_10V_04I_04M;t1;1197.46;7.38;0.9;3600;HxSolutionStatus.FEASIBLE
lr102;10R_10V_04I_03M;t1;939.28;34.81;0.6;3600;HxSolutionStatus.FEASIBLE
lr102;10R_10V_04I_04M;t1;937.46;39.4;0.6;3600;HxSolutionStatus.FEASIBLE
lr103;10R_10V_04I_03M;t1;679.58;100;0.5;3600;HxSolutionStatus.FEASIBLE
lr103;10R_10V_04I_04M;t1;695.61;100;0.4;3601;HxSolutionStatus.FEASIBLE
lr104;10R_10V_04I_03M;t1;727.51;100;0.5;3601;HxSolutionStatus.FEASIBLE
lr104;10R_10V_04I_04M;t1;727.92;100;0.5;3600;HxSolutionStatus.FEASIBLE
lr105;10R_10V_04I_03M;t1;668.46;21.27;0.4;3600;HxSolutionStatus.FEASIBLE
lr105;10R_10V_04I_04M;t1;665.48;21.11;0.4;3600;HxSolutionStatus.FEASIBLE
lr101;12R_12V_02I_03M;t1;1431.73;1.23;0.83;3600;HxSolutionStatus.FEASIBLE
lr101;12R_12V_02I_04M;t1;1381.79;3.04;0.83;3600;HxSolutionStatus.FEASIBLE
lr102;12R_12V_02I_03M;t1;965.99;50.2;0.5;3600;HxSolutionStatus.FEASIBLE
lr102;12R_12V_02I_04M;t1;960.14;54.64;0.5;3600;HxSolutionStatus.FEASIBLE
lr103;12R_12V_02I_03M;t1;800.61;100;0.42;3600;HxSolutionStatus.FEASIBLE
lr103;12R_12V_02I_04M;t1;860.07;100;0.42;3601;HxSolutionStatus.FEASIBLE
